,L2,H1,H2,Energy
0,0.147784664,1.139119601,13.12139912,12.02321785
1,0.041304989,0.601662526,8.165494538,7.584560322
2,0.009054189,0.178175827,4.013383312,3.838934564
3,0.002029822,0.046719582,1.942339086,1.896146218
4,0.000485926,0.011821944,0.955095728,0.943341898
5,0.00011996,0.002964426,0.473964789,0.471008953
6,2.99E-05,0.000741667,0.236159915,0.235419324
0,0.137211458,1.234114304,13.07248656,1.6138979
1,0.052834284,0.69199276,8.687379872,1.023614043
2,0.012661072,0.20437168,4.149000766,0.438581741
3,0.003034633,0.053537197,1.96478966,0.197685024
4,0.000744095,0.013549233,0.958807605,0.095389231
5,0.000184906,0.003397922,0.474646608,0.047234275
6,4.62E-05,0.00085015,0.236299438,0.023558652
0,0.157921667,1.331057484,13.27419729,1.179199519
1,0.058759697,0.781933647,9.763946268,0.728730552
2,0.012307384,0.244916346,5.396957408,0.238246264
3,0.002908444,0.06371948,2.535101953,0.065641109
4,0.000857668,0.015584893,1.085129759,0.018201202
5,0.000242583,0.003846124,0.491307989,0.006061965
6,6.32E-05,0.00095987,0.238289894,0.002537035
0,0.15824439,1.332517802,13.27778024,1.174334166
1,0.058833861,0.784502189,9.803516384,0.725724372
2,0.012013771,0.248998882,5.585786872,0.237045195
3,0.002431644,0.067134811,2.908990862,0.064765546
4,0.000558559,0.017150157,1.461376302,0.016654336
5,0.000141777,0.004283866,0.714022839,0.004202455
6,4.02E-05,0.001045498,0.329213866,0.001057488
0,0.158247633,1.332532476,13.27781633,1.17428545
1,0.058834611,0.784528477,9.803923158,0.725694426
2,0.012010647,0.249045207,5.587935654,0.237035161
3,0.002425156,0.067189867,2.914919365,0.064765337
4,0.00055059,0.017207159,1.47432699,0.016657207
5,0.000133653,0.004337838,0.739119128,0.004204827
6,3.32E-05,0.00108761,0.369395687,0.001055041
0,0.158247666,1.332532623,13.27781669,1.174284963
1,0.058834619,0.78452874,9.803927227,0.725694127
2,0.012010616,0.249045671,5.587957171,0.237035061
3,0.002425091,0.067190421,2.914978999,0.064765337
4,0.000550509,0.017207744,1.474459602,0.016657241
5,0.000133567,0.004338434,0.739394292,0.004204873
6,3.31E-05,0.001088209,0.369952538,0.001055091
