,L2,H1,H2,Energy
0,0.017764661418929385,0.077504399209539,0.6203988958116178,0.5461714664023701
1,0.005542123331194103,0.03168373972219514,0.4028607742211831,0.37209645933144425
2,0.0017457313739956638,0.011859458723633268,0.2550301956798761,0.24338096637318432
3,0.0005610333970022801,0.004232601492161886,0.16049806478703119,0.15630859039425035
4,0.0001865214357197778,0.0014950751624885177,0.10104812464030064,0.09956164910841699
5,6.486399797688339e-05,0.000529858221344911,0.06366853873620569,0.06314039275127631
6,2.3673999171753126e-05,0.0001898062803017378,0.04013013678931095,0.039940676022117164
0,0.02034315657758812,0.12214450187522755,0.9632707838276661,0.10180134564512669
1,0.003947804416119977,0.04124140855640601,0.6430093217121362,0.037293604625791024
2,0.0007151825875579841,0.01396278649600302,0.4338059553260795,0.013247604573728672
3,0.00013081362964667458,0.004788437483518767,0.2947366302967595,0.004657624756370329
4,2.4964046707912173e-05,0.0016567508055660874,0.20135346715764046,0.0016317879807936815
5,5.085742120040354e-06,0.0005764354695217043,0.13822507427277078,0.0005713513855034677
6,1.1117186238841046e-06,0.00020129350193509119,0.09530849644838611,0.00020018404258996344
