,L2,H1,H2,Energy
0,1.1604287095021026,3.6149400237931086,6.7985514326934755,4.019951168218731
1,1.1604292466402801,3.6149641908901984,6.804809984923047,4.024904717164495
2,1.1604292625213297,3.614966561899167,6.807283019653041,4.0268645023744325
3,1.1604292629559394,3.6149667961557945,6.808263206508827,4.0276415513623345
4,1.1604292629673578,3.614966819367848,6.808652040808317,4.027949839487546
0,1.1604287095021026,3.6149400237931086,6.7985514326934755,2.4750716369453567
1,1.1604292466402801,3.6149641908901984,6.804809984923047,2.4751753381207235
2,1.1604292625213297,3.614966561899167,6.807283019653041,2.475209526020274
3,1.1604292629559394,3.6149667961557945,6.808263206508827,2.4752223983978823
4,1.1604292629673578,3.614966819367848,6.808652040808317,2.4752274377755596
