,L2,H1,H2,Energy
0,0.017764661418940987,0.07750439921678574,0.6203988958590957,0.5461714664431513
1,0.005542123327504959,0.0316837397121873,0.4028607741970828,0.37209645931694274
2,0.0017457313681000365,0.011859458730090606,0.2550301956965713,0.24338096638392664
3,0.0005610338206691512,0.004232602849666093,0.16049806703911434,0.1563085913105176
4,0.00018651881852160934,0.0014950696976554878,0.10104811689886709,0.09956164679458625
5,6.487483158691523e-05,0.0005298939876060178,0.06366858398497192,0.06314040241714443
6,2.3662908475961347e-05,0.00018973804513792888,0.04013006251517535,0.03994066974554742
0,0.017994728305622976,0.0993524044200215,0.7807567107853645,0.1061234646535238
1,0.00408504193199956,0.028989528936579655,0.4232734076518995,0.04663508596656888
2,0.0011433124246571856,0.009576684182947921,0.2515486705589728,0.025624718166667268
3,0.00034512373245372107,0.0033668550965442546,0.15839619050263629,0.015794676596919428
4,0.00010723404058264419,0.0011879908931255385,0.10036916750938678,0.009976827818709637
5,3.4686142190345076e-05,0.00041861373677273746,0.06346741324152351,0.006316558524052827
6,1.1837687762768644e-05,0.00014785997465898784,0.04006805778721098,0.00399433649014017
0,0.020290830295696505,0.12172201254117654,0.9596524089783426,0.10177670394861055
1,0.003918215660183406,0.04064618807463488,0.6319015228078146,0.03720083661373428
2,0.0007075160671443707,0.013191925310986553,0.4046578092292026,0.013083769640089173
3,0.00014225164880864844,0.003981103106433611,0.23526296421371468,0.0044817307417373995
4,4.024667501654701e-05,0.0010886131575845656,0.12079561588652626,0.0015912413179674306
5,1.2695027578829848e-05,0.0003144452822112998,0.06529636776345221,0.0007164623096203741
6,3.6901753983508886e-06,0.00010221285120781493,0.039869127913010845,0.0004096919220608608
0,0.020342627314488406,0.1221402391029048,0.9632342296237597,0.10180108646240481
1,0.003947488544353493,0.04123522698488584,0.6428934211258719,0.03729259216777684
2,0.0007150545365377777,0.01395392163539519,0.43346484914360345,0.013245512125980938
3,0.00013085445209503637,0.004775830192730661,0.29376150955171276,0.004653956634302478
4,2.515615570875824e-05,0.0016390726885753988,0.198631900529838,0.0016258944459223593
5,5.39831020328979e-06,0.0005527379871095929,0.13103352436427287,0.0005626774898016618
6,1.4630077524807858e-06,0.00017368576763357072,0.07904398118896966,0.00018942334206984205
0,0.02034315133675357,0.1221444596657301,0.9632704218674036,0.10180134307768336
1,0.0039478012859420555,0.04124134732768923,0.6430081736975185,0.03729359459211527
2,0.0007151813145607803,0.013962698590596503,0.4338025721558823,0.013247583803624693
3,0.0001308140146867307,0.004788311919992769,0.2947269105813106,0.004657588150732101
4,2.4965912863529728e-05,0.001656571811203407,0.201325820680432,0.0016317280672915196
5,5.0888185283107634e-06,0.0005761805799965874,0.13814681168738868,0.0005712574347895805
6,1.1157347262314337e-06,0.00020093149464008153,0.09508779320838527,0.00020004092850016522
0,0.02034315657758812,0.12214450187522755,0.9632707838276661,0.10180134564512669
1,0.003947804415457749,0.04124140855519641,0.6430093217368419,0.03729360462524365
2,0.0007151825886289519,0.013962786495576597,0.43380595529675026,0.013247604572231281
3,0.00013081362741357197,0.00478843748107353,0.29473663032145614,0.004657624756158196
4,2.496404580231598e-05,0.0016567508036920888,0.20135346703774484,0.0016317879798252784
5,5.085714069809197e-06,0.0005764354408880069,0.13822507570257117,0.0005713513849200383
6,1.1117228958875334e-06,0.0002012935063321634,0.09530849774063457,0.00020018404271509202
