,L2,H1,H2,Energy
0,1.1604287128891582,3.61494002136922,6.798551414246912,4.01995115198147
1,1.1604292507861058,3.6149641922540545,6.8048099585748005,4.024904693505357
2,1.1604292658735236,3.6149665644511124,6.807282986395652,4.026864473498625
3,1.1604292660083422,3.614966799008006,6.808263170939771,4.027641520778214
4,1.1604292659723465,3.614966822323461,6.808652005216626,4.0279498088940295
0,1.1604288707805341,3.614940182410453,6.798551520649065,2.4750716333974734
1,1.1604294833816642,3.6149643826200735,6.804809856864442,2.4751752893633374
2,1.1604294803188675,3.6149667523089763,6.807282537337776,2.47520949018504
3,1.1604294601839071,3.6149669847362125,6.8082625182836995,2.475222378510889
4,1.1604294529612038,3.6149670071058204,6.808651283707207,2.47522742334767
