,L2,H1,H2,Energy
0,0.2287579362822765,1.598230919097414,11.399288600371207,1.3694729828151375
1,0.07595021380758263,1.0017120628420364,13.88820282907842,0.9257618490344537
2,0.02578146636954782,0.6702084737572309,18.513108416556967,0.6444270073876831
3,0.009000143942096613,0.4629574230603132,25.609225374072764,0.45395727911821654
4,0.0031718399214040334,0.32389317281936986,35.86940094227213,0.32072133289796584
5,0.0011205427759428351,0.22785972129196344,50.49377756373588,0.2267391785160206
6,0.0003960966716911347,0.16071729350580036,71.2469215092627,0.16032119683410923
0,0.2287579362822765,1.598230919097414,11.399288600371207,1.3694729828151375
1,0.07595021380758263,1.0017120628420364,13.88820282907842,0.9257618490344537
2,0.02578146636954782,0.6702084737572309,18.513108416556967,0.6444270073876831
3,0.009000143942096613,0.4629574230603132,25.609225374072764,0.45395727911821654
4,0.0031718399214040334,0.32389317281936986,35.86940094227213,0.32072133289796584
5,0.0011205427759428351,0.22785972129196344,50.49377756373588,0.2267391785160206
6,0.0003960966716911347,0.16071729350580036,71.2469215092627,0.16032119683410923
