,L2,H1,H2,Energy
0,0.06445054792875246,0.48341338659816735,5.839764778437439,0.41896283866941486
1,0.0073453857797236045,0.12932304134496775,3.218333834625127,0.12197765556524415
2,0.0007174716904920372,0.033429443941594174,1.6700147876463411,0.03271197225110214
3,7.566880412798242e-05,0.008445752163022317,0.8418458495301784,0.008370083358894335
4,8.841670864334834e-06,0.0021150988710664682,0.42093407004584693,0.0021062572002021334
5,1.0832061398789455e-06,0.0005285566382438222,0.21021637470558793,0.0005274734321039432
6,1.3467722026467282e-07,0.00013206133970982512,0.10501155291871987,0.00013192666248956045
0,0.06445054792875246,0.48341338659816735,5.839764778437439,0.41896283866941486
1,0.0073453857797236045,0.12932304134496775,3.218333834625127,0.12197765556524415
2,0.0007174716904920372,0.033429443941594174,1.6700147876463411,0.03271197225110214
3,7.566880412798242e-05,0.008445752163022317,0.8418458495301784,0.008370083358894335
4,8.841670864334834e-06,0.0021150988710664682,0.42093407004584693,0.0021062572002021334
5,1.0832061398789455e-06,0.0005285566382438222,0.21021637470558793,0.0005274734321039432
6,1.3467722026467282e-07,0.00013206133970982512,0.10501155291871987,0.00013192666248956045
