,L2,H1,H2,Energy
0,0.491667777,2.686536191,12.46226184,10.01909473
1,0.491203329,2.680657181,12.41894083,9.981376491
2,0.492215433,2.68135974,12.41208844,9.973937732
3,0.492659,2.682129034,12.41256908,9.973727612
4,0.492792327,2.682409902,12.41306039,9.973965309
5,0.492827648,2.682488711,12.41322043,9.974054106
6,0.492836621,2.682509052,12.41326323,9.974078516
0,0.255662746,1.872057807,11.40713088,1.619204977
1,0.077816866,1.067723486,13.01581366,0.99709117
2,0.027678853,0.68200985,17.65783784,0.67599329
3,0.013664198,0.473949148,23.57671668,0.515010701
4,0.015034912,0.3620004,29.00569446,0.449923516
5,0.019949614,0.329536203,31.64525989,0.440353621
6,0.022828151,0.333077177,32.04332749,0.443630991
0,0.255047505,1.87103292,11.41747331,1.615985697
1,0.076305898,1.064786263,13.09417222,0.988481097
2,0.025757355,0.678103004,18.06582061,0.652347966
3,0.009051026,0.463798371,25.42664531,0.454754197
4,0.003188829,0.323983323,35.79983471,0.32081411
5,0.001124583,0.227870413,50.46089983,0.226801466
6,0.000397244,0.160719172,71.19173152,0.160479203
0,0.255047444,1.871032819,11.41747436,1.615985375
1,0.076305749,1.064785978,13.09418022,0.988480229
2,0.025757204,0.678102709,18.06586544,0.652345506
3,0.009050865,0.463798098,25.4268995,0.454747234
4,0.003188632,0.323983044,35.80128041,0.320794414
5,0.001124319,0.227870082,50.46910059,0.226745769
6,0.00039684,0.160718624,71.23809256,0.1603218
0,0.255047444,1.871032819,11.41747436,1.615985375
1,0.076305749,1.064785978,13.09418022,0.988480229
2,0.025757203,0.678102709,18.06586545,0.652345506
3,0.009050864,0.463798098,25.42689953,0.454747233
4,0.003188632,0.323983044,35.80128055,0.320794412
5,0.001124319,0.227870082,50.46910141,0.226745763
6,0.00039684,0.160718624,71.23809721,0.160321784
