,L2,H1,H2,Energy
0,0.49199393304086264,2.687104493143374,12.462273676383724,10.01860483959944
1,0.49171235127537893,2.682088489793788,12.423283513610265,9.984419268050482
2,0.49234978678316127,2.681840721993283,12.413724004916904,9.975140239004938
3,0.4926821192341324,2.682219600238253,12.41286341171935,9.973941215318911
4,0.4927955697388974,2.6824229830134856,12.41309488063257,9.973988359130834
5,0.49282806761199316,2.6824904211128198,12.41322262625027,9.97405486602304
6,0.49283667414026805,2.6825092688469927,12.413262911744367,9.97407802910977
0,0.22396300618066262,1.5419110455467142,9.596059747938236,1.3204067424853765
1,0.0506475744890997,0.5681121791424758,6.590298046474708,0.5209570897215474
2,0.013605034474324403,0.20401762773513377,4.398996458216289,0.19497882041679535
3,0.010773229042659364,0.18016395086218967,6.91947683313809,0.18230482838110046
4,0.01504042058630884,0.2620057304579439,17.01593619181166,0.2984313704528737
5,0.02009071879903106,0.31080859514397663,26.298141555580347,0.3899372142616979
6,0.022871550405326704,0.33066313984388773,30.29297965155465,0.4295459272346896
0,0.2234427695906871,1.5392053499261384,9.59826920289545,1.3157628271448114
1,0.04892378709755234,0.5596754956169548,6.637038901766659,0.510752070087776
2,0.009360557412579924,0.17593045740850852,4.285139995580702,0.16657040685753258
3,0.0019485789454164045,0.055133755357728374,2.787448578291357,0.05318587825214191
4,0.0004448858607387398,0.017870746602431584,1.8650525541152991,0.017426839742052256
5,0.00010879244149742863,0.005993017685851991,1.2777185139084453,0.005885599339377166
6,3.1340608718950356e-05,0.002123793439451842,0.9052194583471875,0.0020944007894005967
0,0.22344271796656348,1.5392050801537398,9.598269434318734,1.3157623622118573
1,0.04892362414063366,0.5596747080626565,6.63704427850074,0.5107510839581798
2,0.009360211124869641,0.17592893790284636,4.285157240580617,0.16656872682866378
3,0.0019478931095463874,0.05513111288268754,2.7874917689854657,0.053183219843330534
4,0.0004435524969077332,0.017866256256440637,1.865151941183439,0.01742270385746444
5,0.00010617808099876836,0.005983139638656475,1.2776020456214776,0.005876961695230039
6,2.6014511331489735e-05,0.002049999870004273,0.8881147890251067,0.002023985552624476
0,0.2234427179614011,1.5392050801267625,9.598269434341875,1.3157623621653638
1,0.04892362412433808,0.5596747079839017,6.637044279038421,0.5107510838595674
2,0.009360211090242094,0.17592893775091362,4.285157242305478,0.1665687266606766
3,0.001947893040975913,0.05513111261890746,2.787491773322514,0.05318321957793856
4,0.00044355236372141084,0.017866255818940305,1.8651519519765483,0.01742270345522869
5,0.0001061778214161873,0.005983138924173277,1.2776020735321045,0.0058769611027708465
6,2.6014000765579523e-05,0.0020499986959937326,0.8881148637437949,0.0020239846952475487
