,L2,H1,H2,Energy
0,0.48713873109478484,2.6654532607668413,12.375201676807894,9.951093833995944
1,0.49054711613816,2.6763383147186635,12.397672507320594,9.964036413424202
2,0.492064948914612,2.6803499533300092,12.407011918004255,9.969781554055732
3,0.4926122856913033,2.6818446514817977,12.411174027811175,9.972591862927633
4,0.49277825862337815,2.682329277673973,12.412672647980674,9.97365107516285
5,0.49282375133529543,2.682467004334763,12.413117108971269,9.973970575165566
6,0.4928355958597802,2.682503415484077,12.413236535995559,9.974056959077252
0,0.06303692035581071,0.4822146224493827,6.331130434706275,0.42323861774457
1,0.006430871522735783,0.12648933320783529,3.312870152999587,0.1242148803286715
2,0.004458867979688415,0.08014030786547302,2.118682236298271,0.0783788597938467
3,0.00832385224475235,0.16529274828928794,6.534828448133973,0.16939991980104305
4,0.014211453919891936,0.2598850533290951,17.009382855397565,0.2973383344085039
5,0.01985220580808746,0.31033938466075867,26.309156884201556,0.38984182974025083
6,0.022810000709301656,0.33054830668574325,30.297035724064216,0.4295368456591824
0,0.06445040304295867,0.48341324030352767,6.368547346652573,0.4189632506001696
1,0.007345242900647498,0.12932228568114157,3.4343827828981897,0.12197749054527801
2,0.0007173189207503217,0.0334279206855749,1.7648509540021902,0.032711059996187036
3,7.550093940217522e-05,0.008443028628974426,0.8871431672993848,0.008367989052042033
4,8.802342121845588e-06,0.002111124686621315,0.4428534537309648,0.0021027842918825176
5,3.2284844823771083e-06,0.0005512596888922463,0.22152093942389364,0.0005484765054225694
6,6.130974485321398e-06,0.0005235623112140903,0.20589454265708226,0.0005178387399805106
0,0.06445054791426384,0.4834133865835376,6.368551211927137,0.4189628387106078
1,0.00734538576546154,0.12932304126932959,3.434397647508244,0.12197765554864476
2,0.0007174716542626587,0.033429443859004315,1.7648991040793853,0.032711972250565664
3,7.566878160045022e-05,0.008445751882597115,0.8873047228828934,0.008370083147136774
4,8.841650311732215e-06,0.002115098391336949,0.4433997127817803,0.0021062567872522754
5,1.0831875642988282e-06,0.0005285556758267603,0.22141524000512777,0.0005274725345121961
6,1.3465959992895278e-07,0.00013205948351576493,0.11060598141199111,0.00013192487017129012
