,L2,H1,H2,Energy
0,0.4916699679428176,2.686550543993352,12.462302425818303,10.019122995458634
1,0.491203313695181,2.680657459285835,12.418941608591368,9.981377040682286
2,0.4922154325416763,2.6813597445093,12.412088455681982,9.973937741386827
3,0.49265900016886693,2.6821290337927164,12.412569077982104,9.973727612166938
4,0.49279232707182274,2.6824099017068246,12.413060386406107,9.973965308668808
5,0.49282764752284053,2.6824887111882267,12.413220428043118,9.97405410648739
0,0.25573822125309964,1.8723128990173095,11.406476490806254,1.6193837458514762
1,0.07780424689810612,1.0677256872511245,13.015765798693302,0.9971058240332655
2,0.027677837133895666,0.6820093105437748,17.657836002196703,0.6759937472205249
3,0.01366416008037226,0.4739491220633006,23.576716616694732,0.5150107113630994
4,0.015034911468834317,0.3620003995532085,29.00569445562716,0.4499235166552473
5,0.019949613663419994,0.32953620273528866,31.645259888034953,0.44035362054439603
0,0.2551232617672539,1.8712874784999585,11.416809016323098,1.6161644986253878
1,0.07629295921352607,1.0647881115764817,13.094123328109694,0.9884958843081344
2,0.02575625490782498,0.6781023787344584,18.065818648890886,0.6523484410944846
3,0.009050967309620097,0.46379832474976174,25.426645235986214,0.45475420892615287
4,0.0031888257972183284,0.3239833208027726,35.7998347159433,0.3208141103290045
5,0.0011245831428994496,0.22787041331615013,50.46089983881615,0.2268014662064804
0,0.2551232001644466,1.871287376608871,11.416810060217259,1.6161641764726136
1,0.07629281017075243,1.0647878270619022,13.094131333161265,0.9884950169643444
2,0.02575610352991342,0.6781020838232904,18.065863483285305,0.6523459805251054
3,0.009050806259099122,0.46379805139958324,25.426899424991703,0.45474724582565207
4,0.003188628770272622,0.32398304148829743,35.80128041330147,0.32079441467977754
5,0.0011243191306962157,0.22787008215941937,50.469100604259275,0.22674576859482762
