,L2,H1,H2,Energy
0,0.0006735075519732611,0.0030129235451151824,0.02777395776828089,0.024871302398341576
1,0.00026182225613270943,0.001190651250871751,0.016044753454912953,0.0148831137733194
2,8.035086580189487e-05,0.00037747285680714396,0.008419937595174416,0.008047951325984761
3,2.1789397085016145e-05,0.00010627869519682604,0.004261309073298705,0.004155889301274141
4,5.595225234065853e-06,2.7755821434656272e-05,0.002128288424525957,0.002100649496863644
5,1.4092834606750873e-06,7.02674939201436e-06,0.0010605505553515518,0.001053538782222543
0,0.08454078724866354,0.6239442268112975,4.537696278403619,0.5408214272050751
1,0.027446189526113995,0.3709838525114024,6.114676043520423,0.3483060807506803
2,0.010532663581706549,0.2013093459556131,8.833897461398523,0.20939890232444638
3,0.006732945277846128,0.10218794000700257,9.486652507152966,0.13385990265925451
4,0.004237404781319868,0.050480511817925296,7.821712141093139,0.09043024412210605
5,0.0018616730408646768,0.02238600451922903,5.387754736595395,0.057445333541966986
0,0.09523077947520142,0.6750736849099259,5.056826187712948,0.5798430709946726
1,0.03310393279005683,0.4409414691620993,6.21103372143889,0.4078379445486443
2,0.011463681852857727,0.2999257258718441,8.324336238948845,0.2884631601283818
3,0.004012761529872398,0.2080897022343899,11.52618676123652,0.20408007918590565
4,0.0014082444393100212,0.14574274036332738,16.145599550912678,0.14434336378171242
5,0.0004989426082640136,0.10256233681818237,22.705076414119343,0.10208841841303715
0,0.095343044806051,0.6754763141404312,5.05902627995534,0.5801332693509414
1,0.03317476753685104,0.44119362109797927,6.213833563239036,0.4080188536019638
2,0.011511332384875452,0.3000966635472689,8.32831109930812,0.2885853312740627
3,0.004044611764309928,0.20820788021677095,11.53200781539116,0.2041632687664951
4,0.0014275771446590072,0.145822914288597,16.154444572683115,0.1443953380313488
5,0.0005044457660178859,0.1026139082397138,22.74120067133154,0.10210946498328509
0,0.09534416795571501,0.6754803411781278,5.059048273362778,0.5801361732224145
1,0.033175477193041036,0.4411961442847268,6.21386151597956,0.4080206670916899
2,0.011511812980320626,0.3000983776327716,8.328350632901678,0.28858656465246213
3,0.004044942700676418,0.20820907537622244,11.532064876279412,0.2041641326755774
4,0.0014278071253788884,0.14582375405228826,16.154526549973973,0.14439594692699811
5,0.0005046061115326371,0.10261449953607764,22.741317905407413,0.10210989342479597
