,L2,H1,H2,Energy
0,0.02034315657758812,0.12214450187522755,0.9632707838276661,0.10180134564512669
1,0.003947804416119977,0.04124140855640601,0.6430093217121362,0.037293604625791024
2,0.0007151825875579841,0.01396278649600302,0.4338059553260795,0.013247604573728672
3,0.00013081362964667458,0.004788437483518767,0.2947366302967595,0.004657624756370329
4,2.4964046707912173e-05,0.0016567508055660874,0.20135346715764046,0.0016317879807936815
5,5.085742120040354e-06,0.0005764354695217043,0.13822507427277078,0.0005713513855034677
0,0.020343156629996525,0.12214450229732288,0.9632707874472721,0.10180134567080122
1,0.003947804447415336,0.0412414091686826,0.6430093331925085,0.037293604726122316
2,0.0007151826002992818,0.013962787375066397,0.43380598915808205,0.013247604781419953
3,0.00013081362577560519,0.004788438739204398,0.2947367275007875,0.004657625122453779
4,2.4964028041143718e-05,0.0016567525959018071,0.20135374369404851,0.0016317885800800431
5,5.085711075692202e-06,0.0005764380203808386,0.13822585770875645,0.0005713523258863015
